Região Geográfica,Unidade da Federação,Faixa de Proeficiência,Total_Desempenho,Idade,Quantidade,area
Centro-Oeste,Mato Grosso ,101-200,33.0,<17,1.0,Redação
Centro-Oeste,Mato Grosso ,201-300,798.0,<17,45.0,Redação
Centro-Oeste,Mato Grosso ,301-400,3375.0,<17,300.0,Redação
Centro-Oeste,Mato Grosso ,401-500,5571.0,<17,569.0,Redação
Centro-Oeste,Mato Grosso ,501-600,9449.0,<17,1055.0,Redação
Centro-Oeste,Mato Grosso ,601-700,8358.0,<17,1089.0,Redação
Centro-Oeste,Mato Grosso ,701-800,5090.0,<17,781.0,Redação
Centro-Oeste,Mato Grosso ,801-900,5217.0,<17,783.0,Redação
Centro-Oeste,Mato Grosso ,901-1.000,3960.0,<17,400.0,Redação
Centro-Oeste,Mato Grosso ,>1.001,0.0,<17,0.0,Redação
Centro-Oeste,Goiás,0 -100,15.0,<17,1.0,Redação
Centro-Oeste,Goiás,101-200,74.0,<17,6.0,Redação
Centro-Oeste,Goiás,201-300,1457.0,<17,145.0,Redação
Centro-Oeste,Goiás,301-400,5953.0,<17,710.0,Redação
Centro-Oeste,Goiás,401-500,10464.0,<17,1344.0,Redação
Centro-Oeste,Goiás,501-600,19841.0,<17,2852.0,Redação
Centro-Oeste,Goiás,601-700,19836.0,<17,3540.0,Redação
Centro-Oeste,Goiás,701-800,13859.0,<17,2768.0,Redação
Centro-Oeste,Goiás,801-900,15247.0,<17,2900.0,Redação
Centro-Oeste,Goiás,901-1.000,12166.0,<17,1686.0,Redação
Centro-Oeste,Goiás,>1.001,4.0,<17,0.0,Redação
Centro-Oeste,Distrito Federal,0 -100,3.0,<17,0.0,Redação
Centro-Oeste,Distrito Federal,101-200,32.0,<17,0.0,Redação
Centro-Oeste,Distrito Federal,201-300,575.0,<17,20.0,Redação
Centro-Oeste,Distrito Federal,301-400,2587.0,<17,137.0,Redação
Centro-Oeste,Distrito Federal,401-500,4958.0,<17,274.0,Redação
Centro-Oeste,Distrito Federal,501-600,11262.0,<17,795.0,Redação
Centro-Oeste,Distrito Federal,601-700,11368.0,<17,1065.0,Redação
Centro-Oeste,Distrito Federal,701-800,7227.0,<17,962.0,Redação
Centro-Oeste,Distrito Federal,801-900,7241.0,<17,943.0,Redação
Centro-Oeste,Distrito Federal,901-1.000,5366.0,<17,454.0,Redação
Centro-Oeste,Distrito Federal,>1.001,1.0,<17,0.0,Redação
Norte,Rondônia,0 -100,6.0,17,1.0,Redação
Norte,Rondônia,101-200,18.0,17,0.0,Redação
Norte,Rondônia,201-300,416.0,17,41.0,Redação
Norte,Rondônia,301-400,1621.0,17,250.0,Redação
Norte,Rondônia,401-500,2978.0,17,489.0,Redação
Norte,Rondônia,501-600,5328.0,17,1024.0,Redação
Norte,Rondônia,601-700,4942.0,17,1181.0,Redação
Norte,Rondônia,701-800,3028.0,17,787.0,Redação
Norte,Rondônia,801-900,2916.0,17,814.0,Redação
Norte,Rondônia,901-1.000,1719.0,17,429.0,Redação
Norte,Rondônia,>1.001,0.0,17,0.0,Redação
Norte,Acre,0 -100,9.0,17,0.0,Redação
Norte,Acre,101-200,21.0,17,0.0,Redação
Norte,Acre,201-300,352.0,17,39.0,Redação
Norte,Acre,301-400,1398.0,17,202.0,Redação
Norte,Acre,401-500,2142.0,17,282.0,Redação
Norte,Acre,501-600,3784.0,17,589.0,Redação
Norte,Acre,601-700,3130.0,17,556.0,Redação
Norte,Acre,701-800,1700.0,17,370.0,Redação
Norte,Acre,801-900,1535.0,17,353.0,Redação
Norte,Acre,901-1.000,1246.0,17,276.0,Redação
Norte,Acre,>1.001,0.0,17,0.0,Redação
Norte,Amazonas,0 -100,9.0,17,3.0,Redação
Norte,Amazonas,101-200,53.0,17,8.0,Redação
Norte,Amazonas,201-300,1133.0,17,157.0,Redação
Norte,Amazonas,301-400,4637.0,17,707.0,Redação
Norte,Amazonas,401-500,8075.0,17,1367.0,Redação
Norte,Amazonas,501-600,13636.0,17,2316.0,Redação
Norte,Amazonas,601-700,9614.0,17,2083.0,Redação
Norte,Amazonas,701-800,4827.0,17,1260.0,Redação
Norte,Amazonas,801-900,3993.0,17,1028.0,Redação
Norte,Amazonas,901-1.000,2358.0,17,581.0,Redação
Norte,Amazonas,>1.001,1.0,17,0.0,Redação
Norte,Roraima,0 -100,1.0,17,0.0,Redação
Norte,Roraima,101-200,5.0,17,0.0,Redação
Norte,Roraima,201-300,128.0,17,19.0,Redação
Norte,Roraima,301-400,492.0,17,81.0,Redação
Norte,Roraima,401-500,792.0,17,132.0,Redação
Norte,Roraima,501-600,1497.0,17,249.0,Redação
Norte,Roraima,601-700,1270.0,17,238.0,Redação
Norte,Roraima,701-800,732.0,17,143.0,Redação
Norte,Roraima,801-900,762.0,17,127.0,Redação
Norte,Roraima,901-1.000,470.0,17,95.0,Redação
Norte,Roraima,>1.001,0.0,17,0.0,Redação
